x,y,target,stimulus_id
6.894539,6.8168316,Masc,9IDLZyqx-60
2.573476,5.728535,Fem,9cy0NymlDV0
7.524455,7.1702356,Fem,9lIP11Pbu10
1.6203167,5.6376076,Fem,9rz8E3s3CUY
3.2887738,5.5380325,Fem,AB8ud4ogIvo
0.954035,5.7807503,Mix,AJKBKR6MPO0
4.490487,7.5632086,Mix,A_GQGfxzc6k
6.9772058,5.362119,Masc,AoEBDS1OdQk
6.1717772,6.025632,Masc,AsBTxUxT8-I
3.1821136,5.0614295,Mix,B3O1NwkOOe4
0.90233636,5.279144,Fem,B3koQlnaEL8
4.487484,7.7551703,Fem,B4FsikjiUHA
7.3772,7.6900563,Fem,BMSh7nl1pK8
0.86549556,5.642166,Fem,BS9a4CFppMo
8.218417,7.7396855,Masc,BohuEtYqfOA
4.5022917,4.7936363,Masc,Bqw_nmsQQy4
2.9231298,7.7116303,Mix,CN9qybFVIr8
4.644537,4.389063,Mix,CcVTEKOG13o
4.198509,7.8837857,Mix,CfmWvEX_r7Y
4.49844,6.907263,Fem,CpSWTA48JDQ
3.865015,7.2942224,Mix,D9QZLIMKEno
5.0397153,5.4871635,Masc,D9qcmuxI4EI
3.6095483,5.5130143,Fem,DE15rbeNgLI
6.784631,6.4286923,Masc,DOO0-chRLHY
1.7983967,5.3170533,Fem,DPDwNEZJNJY
7.1311536,5.315119,Mix,DWi19R_1ugo
6.9123764,6.8968687,Masc,DX5qdgEvdlc
4.0382276,7.3519444,Fem,DqQZSbSfQ6g
5.3151317,5.543453,Mix,DqU8fARtNFA
7.5436344,6.2410955,Mix,Drg9AMJCWRk
5.634471,5.724172,Masc,Dvcp5sr5AcA
1.7425991,5.7251596,Fem,E8GschBoKMA
3.1367476,6.9807677,Mix,EJv6cvvJshU
3.6189594,5.296524,Fem,ELVHeeDug4U
3.5295777,6.3834553,Fem,ENjv1qKNS4A
8.036486,6.7898083,Masc,EPIML-8H-xY
3.1224651,6.4155393,Fem,ERWmerxv2N0
6.7499204,6.3954334,Masc,ET8_Ee5cQk4
6.441648,4.9908032,Mix,EXL8_DhTqNE
6.412331,7.268454,Mix,EXVVcmoPCbA
3.9707553,5.5063553,Fem,Eej5_xQMdF0
3.102674,7.729372,Masc,EjxILHpT7I8
2.580014,6.9238853,Mix,EsoVjRdPCoU
3.0180886,7.144741,Mix,Ex5ZhANd7z0
3.760791,8.150324,Fem,ExJpDpg2T_A
4.710782,4.109601,Mix,Ey3HojynMqM
1.6127863,5.2356224,Mix,FLJARDSdGLM
2.8133655,4.4404073,Fem,FYpPMELi0Co
8.189305,7.2911396,Masc,FhyVUb25Ilc
1.1257979,4.5257497,Mix,FqGfNOYo0co
