x,y,target,stimulus_id
2.2826138,4.185494,Masc,_kGMj1M8ko8
4.5438,3.5269842,Masc,_mWQG-4Sc2U
7.574732,3.3395631,Fem,_ob7euNGFxw
8.837291,1.0914294,Fem,_quNZ5u2qag
9.827545,3.8318355,Mix,_tNKC2D_DK4
8.127673,1.633574,Fem,a0L1IzEMQ_c
7.8945975,3.7312016,Mix,a1F2Vm6lVNU
10.457275,2.4971514,Fem,aBARjvvUJMc
1.3946868,5.894924,Masc,aLk1Xh0z7qw
9.565096,2.0737693,Fem,aUOl_DWdEu8
6.6239247,1.5593358,Fem,aaHbR1KXwYM
6.6514277,2.6002111,Mix,awK4jz6RWkU
5.2109427,2.2102487,Mix,bBSU7U9f98w
9.961216,2.046091,Fem,bEWuMC5K7vQ
6.1996627,5.2542825,Masc,bKK1XQg2Y9o
9.720707,3.9565806,Fem,bP5Wlc0Na8w
6.956336,1.9455453,Mix,bbbGSR6NAo8
9.759015,2.0565288,Mix,bfDv-c9E_Is
5.385259,4.641732,Mix,bkJxh88VNnc
4.129573,6.2007847,Mix,bkRGPI3N-7k
5.55225,1.9444788,Masc,bpKUFzL1qFM
8.768869,3.4480386,Fem,c3lOglJbNMo
2.5976171,5.979121,Masc,c3vselA9ELQ
5.5622435,4.5108504,Mix,c7zjMd_AlKo
4.9606423,3.7750776,Mix,c9iawUthtNY
4.941272,3.9387949,Mix,cYszuGaptkk
5.8451204,5.784295,Mix,cvvhKy1PFn8
8.364672,2.0136502,Fem,cyc4PdMrf2k
4.1448483,4.6205573,Masc,czj-OJr9gFs
6.3207192,4.9969068,Masc,d-jNkcovWPc
5.9520574,1.7579265,Fem,d77iqD6bMHM
6.825929,3.9048069,Mix,dItD6LO1ILc
4.60922,5.887985,Masc,dNeLMKNiAN8
6.9924183,4.179706,Mix,daHsUZiM6p8
2.8648272,5.4307404,Masc,dmqgI4JCEuE
3.071808,5.5089335,Masc,dp-qHTDVsLc
9.761012,4.713923,Mix,e0CG3x4Z_fk
5.0543947,4.4538736,Mix,e18J2Z18Na4
4.053773,5.7388253,Mix,e2KvH1ZAX84
8.528901,0.9377838,Fem,e6CJ0qsyJjQ
7.112754,4.9082046,Mix,e7urnfBBh3M
3.6986852,5.669896,Masc,eIUvtChuEs0
9.185285,1.1354775,Fem,eL-YIdxfu3A
8.974535,0.6153361,Fem,ebUStbjgKXE
5.80913,5.8431554,Masc,erLps-ZnGlc
9.872694,0.8423124,Fem,esX6Xb_7WyM
9.625075,2.9953623,Fem,f-CA3IUQAWM
9.885457,1.8780378,Fem,f6C_P7xu2fc
6.9153996,1.7123362,Mix,fCeIH4at49g
8.350001,0.89929074,Fem,fD6rEoh-tPo
3.0571632,5.117087,Masc,fM1ARuVwYT4
10.603652,2.7113254,Mix,fV42vrfFvNs
6.13183,5.684921,Masc,fd-TEgqVsXY
6.537979,5.808683,Masc,feHcsAdEcbI
6.9092393,4.4614778,Mix,ffMiaRJmVio
7.230445,4.8374715,Mix,fg8ZTdpuV0I
2.5290687,6.1377125,Mix,fkd9m4Lc9W8
10.61712,3.188108,Fem,flaRc0J0BwM
5.323716,2.8604624,Mix,fzr246eEV-E
9.742806,3.1924875,Fem,g0DI5tPiPPM
7.5928073,5.718067,Masc,gZwHQ9CGyJY
9.801573,3.3244748,Mix,hAiBmTJhhJs
5.424196,4.109856,Masc,hEIrqBhIbmk
9.900565,4.696385,Mix,hFcYHGRWPCY
4.849716,5.1298738,Masc,hNEvIimRhe8
6.1029396,4.6607943,Masc,hS3bS7GksVk
9.963245,3.1425529,Mix,hgORULxqBqU
6.3801913,4.3103147,Masc,hrpsvMHAkDI
7.2937355,2.2465208,Mix,htMLdB-qYr0
9.217302,1.8194082,Fem,hxpeslOcIIA
8.07501,4.4074364,Mix,i7zsJj3XgBc
5.8549867,5.7533245,Masc,iAdS053L7L0
6.3059273,4.992908,Mix,iQF1XSOxHcs
5.4602156,3.8385913,Mix,ijHYsEGGRRY
9.908576,2.5190322,Fem,ipvWSzXXN14
2.2374613,4.787298,Masc,isykm48MUPM
4.7852077,5.9869285,Fem,iwMf1aU3h2Q
2.478286,4.7846375,Masc,ixaVqD1Yzls
9.558996,4.4158406,Mix,izuCJwPgG-Q
1.5453318,5.969195,Masc,jBIWrAAq-3Q
2.3368182,6.025918,Masc,jEtrbjHaZc8
6.3886456,4.9835424,Masc,jJc3CUlCiOo
7.873475,3.7296565,Fem,jNW2XxPUDqc
9.129914,3.5406766,Mix,jYnVugDxErs
9.972857,1.3483922,Fem,j_4_Bw7FbR4
9.180518,3.5193467,Mix,jg35mmYzh3I
7.2219744,3.7862043,Masc,jk0uhPvBnaI
5.1959515,2.3742423,Mix,jltRPLHjR0o
9.582041,1.4025558,Fem,k0q5zWesa1k
2.410399,4.4627995,Masc,k8oFPfgOkzI
7.9550595,4.0011945,Fem,kFkIC-XjFp0
4.5487876,5.6864195,Masc,kJUOvHAZmVk
7.039726,1.7383394,Mix,kL9qia-G10g
9.615516,4.5412974,Fem,kVGcmBU-GIQ
2.0214694,5.8993874,Masc,kb4Ga1tD3nk
9.586128,0.8498253,Fem,khGyyJuLSgU
9.203367,2.1860793,Mix,l0DF8slvlls
10.634953,2.2301655,Fem,l4ipP3XnpDA
8.666394,4.7919054,Fem,lH9eT078eJc
9.185125,0.9582506,Fem,lHmmtj8270k
6.3450603,5.7591624,Masc,lKvRSLtbfrI
9.163385,3.7025583,Masc,lXEc9Oueszg
6.235202,5.27355,Masc,laOxJUcIOdE
6.7340903,3.0419354,Mix,lk2g6a0eS88
4.3361707,4.983819,Masc,lo68aakVEpc
1.6504498,4.6914,Masc,lxHh_AJ0-jE
7.6369085,1.0818102,Fem,m12mtTl6eMc
6.2007403,3.021352,Mix,m2fzOo3-Lq4
9.582206,1.1323498,Fem,mCexl35l7BQ
5.3004475,2.4707735,Masc,mKBujFF2txY
6.410754,4.4357276,Masc,mMR_LTavLq4
7.7790995,2.290646,Mix,mO1kljD_Aa4
4.115644,4.323771,Masc,mPCh3D21qZE
4.735845,3.6772425,Mix,m_ILlDydHwk
9.809913,2.5082655,Fem,mae-_KQhQ60
8.551428,1.5042585,Mix,mkap8fCTUKs
5.5050726,4.532346,Mix,mo3JXjRkl54
5.759832,3.9585662,Mix,mt9b5uwiq-w
9.106896,3.6006887,Fem,my2MceeTLxc
8.27778,2.4242003,Fem,n1YdT9RHvwU
8.198318,4.7232237,Mix,n2SA7dZQWyU
5.319807,6.3123484,Masc,n33_dTKSLTo
3.8276963,4.3457656,Mix,nAX5Ib3h0bU
8.733314,1.912431,Fem,nP-zU9Bn560
6.314595,5.3319273,Mix,nbUOQ6gAudo
9.510053,3.2219114,Fem,ndzo2ZIWfiQ
4.903987,4.131377,Masc,oBedP34gnXw
8.7287035,4.517929,Mix,oRr55oLW8Y8
8.996028,3.453188,Fem,oS3DzyBVp1s
7.733811,4.627846,Fem,oWFVKWZxhJU
10.553852,2.741677,Fem,oXkPfK4qEHQ
8.110454,3.1410205,Fem,odLNWTZGSyg
7.5830803,4.1831794,Fem,pBxyBLjr7sM
4.8128085,2.9464724,Masc,pTe7yJS0mqU
8.872887,5.566277,Mix,p_6ua9LLqy0
9.475689,0.6959703,Fem,pmDUZFSQPKI
9.462742,5.100747,Mix,ptE7EHKWG50
9.357142,4.780684,Mix,q1S6UjO6rgQ
6.533903,4.688413,Mix,qLI0PnzmYKA
4.4001956,5.886228,Mix,qMYgXfbpM3E
9.298442,4.2205606,Mix,qkvhvZQW2rM
9.0330305,4.9664226,Mix,qqV8wfRzDrA
9.551687,3.4325867,Fem,qymG5taSseY
8.789118,1.6100484,Fem,r8WRpcfMZ8I
1.661145,4.7262616,Masc,rBnSfDaDVQI
9.719318,3.1611328,Masc,rJkc-PV3my0
1.9897429,5.4481616,Masc,rKe2vkFIUbY
8.534753,4.6508083,Mix,rjCh8YafGhQ
9.997741,1.1264218,Fem,rjylcwEXkPU
5.066417,6.187472,Masc,rkmGVKQwMOA
4.9269247,6.069283,Masc,s-Q4sffZjo8
