Happy,Amusing,Beauty,Calm,Energizing,Angry,Triumphant,prolific_id,stimulus_id
6,5,4,4,3,1,1,5d9e1929203419001625df07,pmDUZFSQPKI
4,3,3,2,3,1,2,5e1f7b5450f6aa0122fcef8b,-BaTPbE0Gdo
3,3,2,1,2,1,1,5ef7d6c359b38851de122110,Ig3eyG9baPw
5,1,2,1,5,1,5,5aae8f78811b2000016f7c7b,fzr246eEV-E
7,3,2,2,3,1,6,611a665e428e9a57ba0de804,p_6ua9LLqy0
7,6,6,6,6,1,5,5d5db7f7ca179000180b17cc,3cZMIJq5gis
1,6,1,1,2,1,2,5d5f2fc82fce8e0019ca87c1,HO-GyyhtDnA
5,4,5,4,5,1,2,602bebe42e34a23d1d0f72a3,_XU5qHsC4Aw
6,1,3,1,2,1,1,5d5f2fc82fce8e0019ca87c1,VIqv8YRVDuY
7,2,6,5,6,1,4,5d5db7f7ca179000180b17cc,8ZKSazAgj7Q
6,2,2,1,7,3,6,5f4b7922a1cde57399c3872e,_OzTx2Sushc
5,5,1,2,4,1,6,5f4b7922a1cde57399c3872e,mt9b5uwiq-w
5,2,1,3,5,2,6,5f4b7922a1cde57399c3872e,oBedP34gnXw
4,2,4,1,6,2,3,5a52164aac5624000153602a,XRclPERrLVc
6,7,5,4,4,1,2,601ecf037d641438c0840330,InjI6hTzBNQ
5,2,4,5,4,1,2,593b5b0e6c168c000177899a,KEEFbsGQueI
5,2,1,1,7,1,6,5e14c068ed1b3b000cf0e3c7,zabpEcBueg8
3,1,2,4,2,1,3,623729c5c785c64be4d2f444,Mjrbh-vceUE
5,4,5,4,5,2,3,5b2a3000a29ccd0001154e8c,2KH0C36fKkk
7,5,7,5,7,1,3,5ce52692b4a0b500016a9112,5P9kXntCLPw
5,7,2,1,6,4,6,5ec967ac9020ae477aee23af,erLps-ZnGlc
7,6,6,6,5,1,1,5b2a3000a29ccd0001154e8c,Q59nlktSIkw
4,6,3,3,4,3,3,593b5b0e6c168c000177899a,JU2XXwkCav4
5,2,3,2,1,1,1,5a52164aac5624000153602a,yQgb0LJUIlU
4,2,3,3,4,1,3,603900436aac0934a527e745,czj-OJr9gFs
4,3,2,2,2,2,2,5c9c7cc072bf7f0017b6b798,_OzTx2Sushc
7,4,6,1,7,1,6,5cb87813635b940017c2037a,UZI85fGTuAM
7,3,6,5,2,1,4,5cb87813635b940017c2037a,SXkaG2VNqbE
6,6,2,1,4,2,2,597e220e30b1d90001f5f14a,2-m3SEGs0kM
4,4,2,1,3,1,1,5c9c7cc072bf7f0017b6b798,HO-GyyhtDnA
5,4,6,5,2,1,3,611b69c8306de2b76ce73318,ttsmGXduEb0
6,5,4,3,7,1,6,611b69c8306de2b76ce73318,M-ErishbROk
5,3,3,1,5,1,3,5a23e0f8391e270001a10195,33BwTrRpbR0
6,2,6,5,3,1,3,597e220e30b1d90001f5f14a,VIqv8YRVDuY
5,5,4,3,5,3,4,5fb3814f2ed467ac73fe19fd,FsItakNM2wI
1,5,1,1,6,4,4,5f383c7bbd56880ee4aff419,HmN4c8UShsk
7,6,5,3,4,1,6,611b69c8306de2b76ce73318,z6cj2wHF1rA
7,4,6,3,5,1,2,5cb87813635b940017c2037a,oS3DzyBVp1s
6,2,3,1,6,1,5,5dcc6f91e5e18690a20e74d1,Lb1VBf2Fykc
5,5,5,3,4,3,3,5fb3814f2ed467ac73fe19fd,Ig3eyG9baPw
6,1,4,4,6,1,5,5f383c7bbd56880ee4aff419,vdWc1qLStAs
4,4,2,4,4,1,5,614c5d3911d2a431c2c59857,PowcVq11vCg
6,5,6,5,4,1,4,5f15a35ae74deb1deeb0668b,pdzliNhlqWI
6,5,4,1,6,1,4,5a23e0f8391e270001a10195,39QOYRNmfjg
6,6,1,1,6,4,6,5f383c7bbd56880ee4aff419,0EnNkBfhfa0
5,3,3,2,6,3,7,611d2cc49af322d296ac4117,wI1q70-bcQE
7,5,4,1,6,1,4,5a23e0f8391e270001a10195,2J7ZM8U9bw0
4,3,3,3,5,5,3,611b69c8306de2b76ce73318,gXO6upZqhNc
4,1,4,1,6,5,4,6077dd4c0a8ff92267e84b6e,6ZhSFjnUvBs
6,2,5,2,6,1,4,5cb87813635b940017c2037a,GHLDC7lorFk
3,3,3,2,4,2,2,5d4b36bf137506001bb6b366,Bt3xT0QvitI
3,3,4,2,3,1,2,5ef7d6c359b38851de122110,R3nQ2yAqag4
4,3,3,3,3,2,3,5c9034a2eedbd9001573ca14,pdzliNhlqWI
6,5,3,1,7,1,7,5dcc6f91e5e18690a20e74d1,9cEyFO2Eqo4
6,6,4,1,7,3,4,5ea20fd571038c119083a8df,cvvhKy1PFn8
6,6,6,5,5,1,4,5fb3814f2ed467ac73fe19fd,wxbvq4A02uQ
5,4,5,1,6,1,4,5a23e0f8391e270001a10195,D9QZLIMKEno
7,5,3,3,7,1,4,611b69c8306de2b76ce73318,y6wJehV4tis
1,2,1,2,1,1,1,5b017ef1293d310001023bd8,XcdNtsFiLi4
7,4,7,5,4,5,7,5f383c7bbd56880ee4aff419,BooeikkiNKw
4,4,3,2,4,2,3,602bebe42e34a23d1d0f72a3,8Mm00joqGFs
6,2,6,6,6,1,3,61f2ae4aa09e72f23cbafa9a,CcVTEKOG13o
6,1,6,3,2,1,3,5dcc6f91e5e18690a20e74d1,khGyyJuLSgU
6,5,2,1,6,4,2,5cb87813635b940017c2037a,ZoRBJa773Rk
5,4,4,1,6,2,6,6077dd4c0a8ff92267e84b6e,tUfD12KNGMQ
5,3,3,1,5,1,2,5a23e0f8391e270001a10195,WnkUUi5AwQo
7,7,1,1,7,1,1,5f383c7bbd56880ee4aff419,CN9qybFVIr8
7,1,2,5,2,1,1,5f0dab228f4b5d000bf1a31d,mkap8fCTUKs
6,4,6,5,3,1,6,611b69c8306de2b76ce73318,ipvWSzXXN14
5,4,4,5,5,1,3,5fb3814f2ed467ac73fe19fd,c7zjMd_AlKo
5,2,5,3,4,1,2,5e1f7b5450f6aa0122fcef8b,B4FsikjiUHA
7,7,6,6,6,1,4,5e130b3f54e2f09436f73393,2-m3SEGs0kM
5,3,3,1,4,1,3,5a23e0f8391e270001a10195,OdDQthpq2Xo
7,3,6,5,2,1,1,5cb87813635b940017c2037a,tYjBs906Aw8
7,4,7,5,6,1,6,5f383c7bbd56880ee4aff419,p_6ua9LLqy0
7,6,4,1,7,1,6,5dcc6f91e5e18690a20e74d1,uL3HLM6cWCE
4,3,3,4,5,2,3,611a665e428e9a57ba0de804,fM1ARuVwYT4
6,5,6,4,3,1,2,6077dd4c0a8ff92267e84b6e,kFkIC-XjFp0
7,7,7,7,7,4,7,611b69c8306de2b76ce73318,nNjnT7tHIwA
5,3,4,4,3,1,3,5e1f7b5450f6aa0122fcef8b,WiZbb-QOStc
5,7,6,3,4,1,3,5ea20fd571038c119083a8df,8y6pDQTKjrk
7,6,6,5,2,1,1,5cb87813635b940017c2037a,odLNWTZGSyg
7,2,5,4,5,1,4,5f383c7bbd56880ee4aff419,ndzo2ZIWfiQ
5,3,4,1,5,1,3,5a23e0f8391e270001a10195,AJKBKR6MPO0
4,1,1,1,1,1,1,5d5f2fc82fce8e0019ca87c1,cyc4PdMrf2k
5,5,4,4,5,2,3,5fb3814f2ed467ac73fe19fd,AsBTxUxT8-I
7,6,6,3,5,1,2,5cb87813635b940017c2037a,a1F2Vm6lVNU
6,1,2,1,7,1,7,611d2cc49af322d296ac4117,-vSutSWNgLU
3,3,3,3,3,3,3,611b69c8306de2b76ce73318,zgYKLgKXZjQ
6,4,3,3,4,1,3,5dcc6f91e5e18690a20e74d1,rJkc-PV3my0
6,4,4,2,5,1,3,6077dd4c0a8ff92267e84b6e,L90gLiPafb4
6,1,6,3,2,1,6,5aae8f78811b2000016f7c7b,QPABdbp7RFw
6,5,2,2,5,1,2,5d4b36bf137506001bb6b366,fg8ZTdpuV0I
7,6,4,2,6,1,4,5cb87813635b940017c2037a,VFXSd8qc7Xk
4,1,1,1,7,6,3,5f383c7bbd56880ee4aff419,fkd9m4Lc9W8
6,5,4,1,5,1,3,5a23e0f8391e270001a10195,11tm3fB0E2g
5,4,4,3,3,1,3,602bebe42e34a23d1d0f72a3,fV42vrfFvNs
6,2,2,3,5,1,1,5c5432c098016d0001541ef7,-o98tc5dDUI
6,4,2,2,7,2,2,5cb87813635b940017c2037a,bkRGPI3N-7k
5,3,5,4,3,1,1,5f383c7bbd56880ee4aff419,7PXUuEIDJnE
7,7,7,4,7,6,7,611b69c8306de2b76ce73318,dNeLMKNiAN8
4,4,2,2,6,2,1,5d4b36bf137506001bb6b366,TFHBEkqysRU
7,5,6,2,6,1,2,5dcc6f91e5e18690a20e74d1,KpdJNeu2Y34
7,7,6,2,6,1,3,5cb87813635b940017c2037a,1cBoo3E5b3Y
6,5,6,5,4,1,1,61572aeab6ac8a5fe94b43b4,e6CJ0qsyJjQ
4,3,3,3,3,3,3,611b69c8306de2b76ce73318,xbTNEkONzCo
7,1,6,7,1,1,4,5f383c7bbd56880ee4aff419,GNLdz_GH8fs
7,4,5,3,5,1,5,5cb87813635b940017c2037a,Kgdwd6Pqip4
4,5,1,1,3,1,4,5e130b3f54e2f09436f73393,Zl-50U1tsBM
3,4,3,1,7,4,5,5ea20fd571038c119083a8df,zg1nAydNm_A
7,6,4,5,4,1,3,5cb87813635b940017c2037a,S6qGevXNPaw
5,3,3,1,4,1,2,5a23e0f8391e270001a10195,w4zL859ehzU
4,2,3,2,4,1,4,6077dd4c0a8ff92267e84b6e,d77iqD6bMHM
4,2,4,2,4,1,3,614da66d7f267237bf6d05e6,QhM5cqvPfb0
6,5,3,3,7,1,5,611b69c8306de2b76ce73318,-SEKfzdaIK0
